sigla;evento;Qualis_Final;
PKC;International Conference on Practice and Theory in Public Key Cryptography;A2;
PLATIAL;International Symposium on Platial Information Science;B4;
PLDI;SIGPLAN Conference on Programming Language Design and Implementation;A1;
PLOP;Conference on Pattern Languages of Programs;B4;
PODC;ACM Symposium on Principles of Distributed Computing;A2;
PODS;Symposium on Principles of Database Systems;A2;
PoEM;IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling;B1;
POPL;Symposium on Principles of Programming Languages;A1;
POST;International Conference on Principles of Security and Trust;B1;
PP;SIAM Conference on Parallel Processing for Scientific Computing;B4;
PPAM;International Conference on Parallel Processing and Applied Mathematics;B3;
PPDP;International Symposium on Principles and Practice of Declarative Programming;A4;
PPOPP;ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming;A2;
PPSN;International Conference on Parallel Problem Solving from Nature;A3;
PRDC;Pacific Rim International Symposium on Dependable Computing;B1;
PredictGIS;International Workshop on Prediction of Human Mobility;B4;
PRIMA;nternational Conference on Principles and Practice of Multi-Agent Systems;B2;
PrivOn;Workshop on Society, Privacy and the Semantic Web;B4;
PROFES;International Conference on Product-Focused Software Process Improvement;A4;
PROMISE;International Conference on Predictive Models and Data Analytics in Software Engineering;A4;
PROPOR;International Conference on Computational Processing of the Portuguese Language;A4;
PSB;Pacific Symposium on Biocomputing;A2;
PSCC;Power Systems Computation Conference;A2;
PST;International Conference on Privacy, Security and Trust;A3;
Q2SWinet;ACM Symposium on QoS and Security for Wireless and Mobile Networks;B3;
QoMEX;International Workshop on Quality of Multimedia Experience;A2;
QUATIC;International Conference on Quality of Information and Communications Technology;B2;
RADECS;European Conference on Radiation and its Effects on Components and Systems;B2;
RAHA;IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications;B4;
RAID;International Symposium on Research in Attacks, Intrusions, and Defenses;A3;
RANLP;International Conference on Recent Advances in Natural Language Processing;A3;
RCAR;IEEE International Conference on Real-time Computing and Robotics;B1;
RCIS;International Conference on Research Challenges in Information Science;B1;
RE;IEEE International Requirements Engineering Conference;A2;
REBLS;Workshop on Reactive and Event-Based Languages and Systems;B4;
RECOMB;International Conference on Research in Computational Molecular Biology;A3;
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;B1;
RECOSOC;International Symposium on Reconfigurable Communication-centric Systems- on-Chip;B2;
RECSYS;ACM Conference on Recommender Systems;A1;
REFSQ;International Working Conference on Requirements Engineering: Foundations for Software Quality;A4;
RICE;International Conference on Research in Intelligent and Computing in Engineering;B2;
RITA;International Conference on Robot Intelligence Technology and Applications;B3;
RO-MAN;IEEE International Symposium on Robot and Human Interactive Communication;A2;
ROBIO;IEEE International Conference on Robotics and Biomimetics;A3;
ROBOCUP;Robocup International Symposium;A3;
RoboSoft;IEEE International Conference on Soft Robotics;A4;
ROBOT;Iberian Robotics Conference;B2;
RoMoCo;International Workshop on Robot Motion and Control;B2;
ROOTS;Reversing and Offensive-Oriented Trends Symposium;B4;
ROSE;IEEE International Symposium on Robotic and Sensors Environments;B3;
RSP;IEEE International Symposium on Rapid System Prototyping;B3;
RSS;Robotics: Science and Systems;A1;
RTAS;IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM;A2;
RTCSA;International Conference on Embedded and Real-Time Computing Systems and Applications;A3;
RTIS;International Conference on Real Time Intelligent Systems;B3;
RTSS;Real-Time Systems Symposium;A3;
RuleML+RR;International Joint Conference on Rules and Reasoning;B1;
S&P;IEEE Symposium on Security and Privacy;A1;
SAC;ACM Symposium on Applied Computing;A2;
SACI;IEEE International Symposium on Applied Computational Intelligence and Informatics;B1;
SACMAT;ACM Symposium on Access Control Models and Technologies;A4;
SACRYPT;Workshop on Selected Areas in Cryptography;A3;
SAFECOMP;International Conference on Computer Safety, Reliability, and Security;A3;
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation;B1;
SANER;IEEE International Conference on Software Analysis, Evolution and Reengineering;A1;
SARNOFF;IEEE Sarnoff Symposium;B2;
SAS;IEEE Sensors Applications Symposium;A3;
SAST;Brazilian Symposium on Systematic and Automated Software Testing;B1;
SAT;International Conference on Theory and Applications of Satisfiability Testing;A3;
SBAC-PAD;International Symposium on Computer Architecture and High Performance Computing;A4;
SBACPADW;International Symposium on Computer Architecture and High Performance Computing Workshop;B4;
SBAI;Simpósio Brasileiro de Automação Inteligente;B4;
SBBD;Simpósio Brasileiro de Banco de Dados;A4;
SBCARS;Brazilian Symposium on Components, Architectures and Reuse Software;B1;
SBCAS;Simpósio Brasileiro de Computação Aplicada à Saúde;A4;
SBCCI;Symposium on Integrated Circuits and Systems Design;A4;
SBCM;Simpósio Brasileiro de Computação Musical;B1;
SBCUP;Simpósio Brasileiro de Computação Ubíqua e Pervasiva;B4;
SBES;Brazilian Symposium on Software Engineering;A3;
SBESC;Brazilian Symposium on Computing Systems Engineering;A4;
SBGAMES;Simpósio Brasileiro de Jogos e Entretenimento Digital;A4;
SBIAGRO;Congresso Brasileiro de Agroinformática;B4;
SBIE;Simpósio Brasileiro de Informática na Educação;A3;
SBLP;Brazilian Symposium on Programming Languages;A4;
SBMF;Brazilian Symposium on Formal Methods;A4;
SBMICRO;Symposium on Microelectronics Technology and Devices;B4;
SBPO;Simpósio Brasileiro de Pesquisa Operacional;A4;
SBQS;Simpósio Brasileiro de Qualidade de Software;B1;
SBRC;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;A4;
SBrT;Simpósio Brasileiro de Telecomunicações e Processamento de Sinais;B4;
SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B1;
SBSeg;Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais;A4;
SBSI;Simpósio Brasileiro de Sistemas de Informação;A4;
SBSR;Simpósio Brasileiro de Sensoriamento Remoto;B3;
SBTI;Simpósio Brasileiro de Tecnologia da Informação;B4;
SC;International Conference for High Performance Computing, Networking, Storage and Analysis;A1;
SCA;ACM SIGGRAPH/Eurographics Symposium on Computer Animation;A3;
SCAM;IEEE International Working Conference on Source Code Analysis and Manipulation;A4;
SCCTSA;International Workshop on Smart City Clouds: Technologies, Systems and Applications;B4;
SciVis;IEEE Scientific Visualization;B4;
SCOPES;Software and Compilers for Embedded Systems;B2;
SDM;SIAM International Conference on Data Mining;A1;
SDPC;International Conference on Sensing, Diagnostics, Prognostics, and Control;B3;
SDS;International Conference on Software Defined Systems;A4;
SE4Science;International Workshop on Software Engineering for Science;B2;
SEA;International Symposium on Experimental Algorithms;A3;
SEAA;Euromicro Conference on Software Engineering and Advanced Applications;A4;
SeAC;Workshop on Self-Aware Computing;B4;
SEAMS;International Symposium on Software Engineering for Adaptive and Self- Managing Systems;A3;
SEC;International Conference on ICT Systems Security and Privacy Protection;A4;
SeCoGis;International Workshop on Semantic and Conceptual Issues in Geographic Information Systems;B3;
SECON;IEEE International Conference on Sensing, Communication and Networking;A2;
SECRYPT;International Conference on Security and Cryptography;B1;
SEFM;International Conference on Software Engineering and Formal Methods;A3;
SEGAH;International Conference on Serious Games and Applications for Health;A3;
SEKE;International Conference on Software Engineering and Knowledge Engineering;A4;
SEMEVAL;International Workshop on Semantic Evaluation;A1;
SEMISH;Seminário Integrado de Software e Hardware;A4;
SENSORNETS;International Conference on Sensor Networks;B2;
SenSys;ACM Conference on Embedded Network Sensor Systems;A2;
SEPLN;CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING;B4;
SERA;Software Engineering Research, Management and Applications;B2;
SERIAL;Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers;B2;
SERP4IoT;International Workshop on Software Engineering Research & Practices for the Internet of Things;B3;
SERVICES;IEEE World Congress on Services;B1;
SESoS;International Workshop on Software Engineering for Systems-of-Systems;B3;
SeWeBMeDA;Workshop on Semantic Web Solutions for Large-Scale Biomedical;B4;
SGP;Eurographics Symposium on Geometry Processing;A1;
SIBGRAPI;Conference on Graphics, Patterns and Images;A3;
SIES;International Symposium on Industrial Embedded Systems;B2;
SIGCOMM;ACM SIGCOMM Conference;A1;
SIGCSE;ACM Technical Symposium on Computer Science Education;A2;
SIGDIAL;Annual Meeting of the Special Interest Group on Discourse and Dialogue;A2;
SIGDOC;ACM International Conference on Design of Communication;B2;
SIGGRAPH;International Conference and Exibition on Computer Graphics and Interactive Techniques;A1;
SIGGRAPH Asia;ACM International Conference On Computer Graphics & Interactive Techniques / Asia;A1;
SIGIR;International ACM SIGIR Conference on Research and Development in Information Retrieval;A1;
SIGIReCom;SIGIR Workshop on eCommerce;B4;
SIGKDD;ACM International Conference on Knowledge Discovery and Data Mining;B4;
SIGMOD;ACM Conference on Management of Data;A1;
SIGSE;ACM Technical Symposium on Computer Science Education;A2;
SIGSPATIAL;ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;A3;
SII;IEEE/SICE International Symposium on System Integration;B1;
SIIE;Simpósio Internacional de Informática Educatica;B1;
SIMBig;Annual International Symposium on Information Management and Big Data;B3;
SIMPAR;IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots;B1;
SIMPDA;International Sysmposium on Data-Driven Process Discovery and Analysis;B4;
SIMULTECH;International Conference on Simulation and Modeling Methodologies, Technologies and Applications;B2;
SIoT;International Workshop on Secure Internet of Things;B3;
SISAP;nternational Conference on Similarity Search and Applications;B1;
SLATE;Symposium on Languages, Applications and Technologies;B3;
SLE;ACM SIGPLAN International Conference on Software Language Engineering;A4;
SLERD;Conference on Smart Learning Ecosystems and Regional Development;B3;
SMARTCOMP;International Conference on Smart Computing;A3;
SMARTGREENS;International Conference on Smart Grids and Green ICT Systems;B2;
SMARTGRIDCOMM;IEEE International Conference on Smart Grid Communications;A3;
SMC;IEEE International Conference on Systems, Man and Cybernetics;A2;
SMusC;Sound and Music Computing Conference;B1;
SNAA;Workshop on Social Network Analysis in Applications;B4;
SOCA;IEEE Conference on Service-Oriented Computing and Applications;B4;
SOCC;IEEE International System-on-Chip Conference;B1;
SoCG;International Symposium on Computational Geometry;A3;
SOCIALCOM;International Conference on Social Computing;A4;
SOCINFO;International Conference on Social Informatics;A3;
SoCPaR;International Conference on Soft Computing and Pattern Recognition;B3;
SODA;ACM-SIAM Symposium on Discrete Algorithms;A1;
SOFSEM;International Conference on Current Trends in Theory and Practice of Computer Science;B2;
SOFTCOM;International Conference on Software, Telecommunications and Computer Networks;A4;
SOFTENG-IARIA;IARIA International Conference on Advances and Trends in Software Engineering;B4;
SoftStart;International Workshop on Software Engineering for Startups;B4;
SORT;IEEE Workshop on Self-Organizing Real-Time Systems;B4;
SOSE;IEEE International Symposium on Service-Oriented System Engineering;A4;
SoSEC;IEEE Annual System of Systems Engineering Conference;A3;
SOSP;ACM Symposium on Operating Systems Principles;A1;
SOSR;Symposium on Software Defined Networking Research;A2;
SOUPS;Symposium On Usable Privacy and Security;A2;
SoWeMi;International Workshop on Mining the Social Web;B4;
SPAA;ACM Symposium on Parallelism in Algorithms and Architectures;A3;
SpaCCS;International Conference on Security, Privacy and Anonymity in Computation, Communication and Storage;B1;
SPACE;International Conference on Security, Privacy, and Applied Cryptography Engineering;B1;
SpatialBigData;Spatial Big Data and Machine Learning in GIScience;B4;
SpatialGems;ACM SIGSPATIAL International Workshop on Spatial Gems;B4;
SPIRE;International Symposium on String Processing and Information Retrieval;B1;
SPLASH;ACM SIGPLAN Conference on Systems, Programming, Languages, and Applications: Software for Humanity;B1;
SPLC;International Software Product Line Conference;A3;
SPM;International Conference on Signal, Image Processing and Multimedia;B4;
SpringSim;Spring Simulation Conference;B1;
SRDS;IEEE Symposium on Reliable Distributed Systems;A3;
SSBSE;International Symposium on Search Based Software Engineering;B1;
SSCC;International Symposium on Security in Computing and Communications;B2;
SSCI;IEEE Symposium Series on Computational Intelligence;A2;
SSDBM;International Conference on Scientific and Statistical Database Management;A3;
SSIAI;Southwest Symposium on Image Analysis and Interpretation;B2;
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;B1;
SSRR;International Symposium on Safety, Security and Rescue Robotics;A3;
SSTD;International Symposium on Spatial and Temporal Databases;A4;
STACS;Symposium on Theoretical Aspects of Computer Science;A3;
STIL;Brazilian Symposium in Information and Human Language Technology;B1;
STOC;ACM Symposium on Theory of Computing;A1;
SUGARLOAFPLOP;Latin American Conference on Pattern Languages of Programs;B4;
SUI;Symposium on Spatial User Interaction;A3;
SUM;International Conference on Scalable Uncertainty Management;B2;
SustainIT;Conference on Sustainable Internet and ICT for Sustainability;B4;
SVR;Symposium on Virtual and Augmented Reality;A4;
SWAT;Scandinavian Workshop on Algorithm Theory;B2;
SWQD;Conference Software Quality Days;A3;
SYSCON;IEEE International Systems Conference;A4;
SYSTOL;Conference on Control and Fault-Tolerant Systems;B1;
TABLEAUX;International Conference on Automated Reasoning with Analytic Tableaux and Related Methods;B1;
TAC;Text Analysis Conference;B1;
TACAS;International Conference on Tools and Algorithms for the Construction and Analysis of Systems;A2;
TAPAS;Workshop on Tools for Automatic Program Analysis;B4;
TAROS;Conference Towards Autonomous Robotics Systems;A4;
TASE;Theoretical Aspects of Software Engineering;B1;
TCC;Theory of Cryptography;A1;
TechDebt;International Conference on Technical Debt;B1;
TEEM;Technological Ecosystems for Enhancing Multiculturality;A2;
TEI;International Conference on Tangible, Embedded and Embodied Interaction;A2;
TextGraphs;Workshop on Graph-based Methods for Natural Language Processing;B2;
TIMBRE;Interdisciplinary Workshop on Timbre;B4;
TISE;Congreso Internacional de Informática Educativa;B4;
TPDL;International Conference on Theory and Practice of Digital Libraries;A4;
TREC;Text Retrieval Conference;B1;
TRUST;International Workshop on Trust in Agent societies;B4;
TRUSTCOM;International Conference on Trust, Security and Privacy in Computing and Communications;A2;
TSD;International Conference on Text, Speech and Dialogue;A4;
TVX;ACM International Conference on Interactive Experiences for TV and Online Video;A4;
UAI;Conference on Uncertainty in Artificial Intelligence;A1;
UBICOMM-IARIA;IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;B4;
UbiComp;ACM International Joint Conference on Pervasive and Ubiquitous Computing;A1;
UBIMUS;Workshop de Música Ubíqua;B4;
UCAMI;International Conference on Ubiquitous Computing and Ambient Intelligence;B1;
UCC;IEEE/ACM International Conference on Utility and Cloud Computing;A3;
UIC;IEEE International Conference on Ubiquitous Intelligence and Computing;B1;
UIST;ACM User Interface Software Technology Symposium;A1;
UKSIM;International Conference on Computer Modelling and Simulation;B2;
UMAP;International Conference on User Modeling, Adaptation and Personalization;A2;
UNET;International Symposium on Ubiquitous Networking;B2;
UNIF;International Workshop on Unification;B4;
UR;International Conference on Ubiquitous Robots and Ambient Intelligence;A4;
USENIX Security;USENIX Security Symposium;A1;
USIHC;Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador;B4;
UTP;International Symposium on Unifying Theories of Programming;B4;
VALUETOOLS;EAI International Conference on Performance Evaluation Methodologies and Tools;B2;
VAMOS;International Workshop on Variability Modelling of Software-intensive Systems;A4;
VarDial;Workshop on NLP for Similar Languages, Varieties and Dialects;A3;
VAST;IEEE Conference on Visual Analytics Science and Technology;A3;
VCIP;IEEE International Conference on Visual Communications and Image Processing;A3;
VECIMS/CIVEMSA;IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems;B2;
VECPAR;International Meeting on High Performance Computing for Computational Science;B4;
VEE;International Conference on Virtual Execution Environments;B1;
VEM;Workshop on Software Visualization, Evolution and Maintenance;B4;
Videojogos;Conference on Videogame Sciences and Arts;B4;
VISAPP;International Conference on Computer Vision Theory and Applications;A3;
VISIGRAPP;Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications;B2;
VISSOFT;IEEE Working Conference on Software Visualization;B1;
VLDB;International Conference on Very Large Data Bases;A1;
VLHCC;IEEE Symposium on Visual Languages and Human-Centric Computing;A3;
VLSI;International Conference on Very Large Scale Integration;B1;
VLSI-DAT;International Symposium on VLSI Design, Automation and Test;B2;
VLSI-SOC;IEEE/IFIP International Conference on VLSI and System-on-Chip;B1;
VLSID;International Conference on VLSI Design;A4;
VMV;Vision, Modeling & Visualization;B3;
VNC;IEEE Vehicular Networking Conference;A3;
VOILA;Visualization and Interaction for Ontologies and Linked Data;B4;
VR;IEEE Virtual Reality Conference;A2;
VRCAI;International Conference on Virtual Reality Continuum and its Applications;A4;
VRST;ACM Symposium on Virtual Reality Software and Technology;A3;
VS-Games;International Conference on Virtual Worlds and Games for Serious Applications;A3;
VSMM;International Conference on Virtual Systems and MultiMedia;B2;
VTC;Vehicular Technology Conference;A1;
VTS;IEEE VLSI Test Symposium;B1;
W2GIS;International Symposium Web and Wireless Geographical Information Systems;B2;
W4A;Conference on Web Accessibility;A4;
WABI;Workshop on Algorithms in Bioinformatics;A3;
WAC;Web Audio Conference;B2;
WACV;Workshop on Applications of Computer Vision;A1;
WADS;Algorithms and Data Structures Symposium;B4;
WAFR;Workshop on the Algorithmic Foundations of Robotics;A3;
WAIHCWS;Workshop sobre Aspectos da Interação Humano-Computador para a Web Social;B4;
WALCOM;International Workshop on Algorithms and Computation;B1;
WAlgProg;Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação;B4;
WAOA;Workshop on Approximation and Online Algorithms;B2;
WASHES;Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software;B4;
WASPAA;IEEE Workshop on Applications of Signal Processing to Audio and Acoustics;A3;
WASSA;Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis;A3;
WAVE;Workshop on Advanced Virtual Environments and Education;B4;
WBL;Workshop Brasileiro de Lógica;B4;
WBMA;Workshop Brasileiro de Métodos Ágeis;B4;
WCAMA;Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais;B4;
WCAS;Workshop on Circuits and Systems Design;B4;
WCBIE;Workshops do Congresso Brasileiro de Informática na Educação;B3;
WCCE;IFIP World Conference on Computers in Education;B3;
WCCI;IEEE World Congress on Computational Intelligence;B4;
WCGE;Workshop de Computação Aplicada ao Governo Eletrônico;B4;
WCGO;World Congress on Global Optimization;B3;
WCISC;Workshop on Computational Intelligence and Smart Cities;B4;
WCN;Workshop on Cloud Networks;B4;
WCNC;IEEE Wireless Communications and Networking Conference;A2;
WCNCW;IEEE Wireless Communications and Networking Conference Workshops;B3;
WCNPS;Workshop on Communication Networks and Power Systems;B3;
WCX;SAE World Congress Experience;B3;
WD;Wireless Days Conference;A4;
WDES;Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems;B3;
WEB3D;International Conference on 3D Web Technology;A4;
Web4All;International Web for All Conference;A3;
WEBDB;International Workshop on the Web and Databases;B2;
WEBIST;International Conference on Web Information Systems and Technologies;A4;
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;A4;
WEBSCI;ACM Web Science Conference;A2;
WEI;Workshop sobre Educação em Computação;A4;
WER;Workshop on Requirements Engineering;B4;
WESB;Workshop de Engenharia de Software Baseada em Busca;B4;
WETICE;IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises;A3;
WF-IoT;IEEE World Forum on Internet of Things;A2;
WFCS;IEEE World Conference on Factory Communication Systems;A4;
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;A3;
WGRS;Workshop de Gerência e Operação de Redes e Serviços;B4;
WHISPERS;Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing;B2;
WI-IAT;IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology;A3;
WICSA;Working IEEE/IFIP Conference on Software Architecture;B1;
WIE;Workshop de Informática na Escola;A4;
WIFS;IEEE Workshop on Information Forensics and Security;A3;
WIM;Workshop de Informática Médica;B4;
WIMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;A4;
WiOpt;International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks;A3;
WiPSCE;Workshop in Primary and Secondary Computing Education;A3;
WISDOM;Workshop on Issues of Sentiment Discovery and Opinion Mining;B4;
WISE;International Conference on Web Information Systems Engineering;A4;
WiSec;ACM Conference on Security & Privacy in Wireless and Mobile Networks;A3;
WISTP;International Conference on Information Security Theory and Practice;B2;
WIT;Women in Information Technology;B3;
WOCN;International Conference on Wireless and Optical Communications Networks;B2;
WOLLIC;International Workshop on Logic, Language, Information and Computation;A4;
WOMoCoE;International Workshop on Ontology Modularity, Contextuality, and Evolution;B4;
WONS;Wireless On-demand Network systems and Services Conference;A4;
WORKS;Workshop on Workflows in Support of Large-Scale Science;B3;
WOSP;International Workshop on Mining Scientific Publications;B4;
WOWMOM;International Symposium on a World of Wireless, Mobile and Multimedia Networks;A2;
WPEIF;Workshop de Pesquisa Experimental da Internet do Futuro;B4;
WPerformance;Workshop em Desempenho de Sistemas Computacionais e de Comunicação;B4;
WPES;Annual ACM workshop on Privacy in the electronic society;B4;
WRLA;International Workshop on Rewriting Logic and its Applications;B3;
WSC;Winter Simulation Conference;A2;
WSCAD;Simpósio em Sistemas Computacionais de Alto Desempenho;B4;
WSCDC;Workshop de Segurança Cibernética em Dispositivos Conectados;B4;
WSCG;International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision;B4;
WSDM;ACM Conference International Conference on Web Search and Data Mining;A1;
WSL;Workshop de Software Livre;B4;
WSOM;International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization;B3;
WTF;Workshop de Testes e Tolerância a Falhas;B4;
WTranS;Workshop de Transparência de Sistema;B4;
WVC;Workshop de Visão Computacional;B4;
WWW;International World Wide Web Conferences;A1;
XP;International Conference on Agile Software Development;A3;
;;;